City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,boca do acre,-8.7522,-67.3978,30.32,66,23,1.87,BR,2025-03-24
1,upington,-28.4478,21.2561,27.21,57,50,1.54,ZA,2025-03-24
2,aasiaat,68.7098,-52.8699,-9.9,80,100,1.98,GL,2025-03-24
3,puerto quijarro,-17.7833,-57.7667,31.5,55,100,1.35,BO,2025-03-24
4,waitangi,-43.9535,-176.5597,14.9,98,7,1.34,NZ,2025-03-24
5,constantia,44.1833,28.65,11.84,86,100,4.32,RO,2025-03-24
6,west island,-12.1568,96.8225,26.99,94,75,4.12,CC,2025-03-24
7,san patricio,28.017,-97.5169,27.51,68,59,2.93,US,2025-03-24
8,albany,42.6001,-73.9662,5.87,90,100,1.34,US,2025-03-24
9,bilibino,68.0546,166.4372,-31.27,97,71,2.35,RU,2025-03-24
10,port alfred,-33.5906,26.891,21.77,98,100,4.88,ZA,2025-03-24
11,pisco,-13.7,-76.2167,25.16,72,0,3.6,PE,2025-03-24
12,merritt,50.1123,-120.7942,7.0,86,100,0.89,CA,2025-03-24
13,onega,63.9061,38.1404,-3.18,93,16,3.89,RU,2025-03-24
14,ringkobing,56.0901,8.244,5.68,86,87,2.06,DK,2025-03-24
15,ati,13.2154,18.3353,28.72,9,10,5.39,TD,2025-03-24
16,port-aux-francais,-49.35,70.2167,5.39,71,44,8.28,TF,2025-03-24
17,youhao,47.8667,128.8333,-7.02,92,100,0.83,CN,2025-03-24
18,port mathurin,-19.6833,63.4167,26.99,77,7,5.45,MU,2025-03-24
19,blackmans bay,-43.0167,147.3167,9.69,92,0,1.8,AU,2025-03-24
20,bethel,41.3712,-73.414,6.0,98,100,2.06,US,2025-03-24
21,stephenville,32.2207,-98.2023,24.18,22,0,3.09,US,2025-03-24
22,tuskegee,32.424,-85.6916,17.5,88,100,5.5,US,2025-03-24
23,punta arenas,-53.15,-70.9167,14.06,47,0,9.77,CL,2025-03-24
24,nuh,28.1167,77.0167,22.47,14,0,1.48,IN,2025-03-24
25,adamstown,-25.066,-130.1015,22.44,86,100,4.58,PN,2025-03-24
26,sidney,-33.8679,151.2073,20.49,84,98,0.45,AU,2025-03-24
27,kingston,17.997,-76.7936,32.69,58,20,12.86,JM,2025-03-24
28,qarazhal,48.0078,70.7903,-7.37,84,7,7.0,KZ,2025-03-24
29,puerto natales,-51.7236,-72.4875,19.25,52,75,9.26,CL,2025-03-24
30,lerwick,60.1545,-1.1494,8.93,96,100,11.27,GB,2025-03-24
31,benjamin constant,-4.3831,-70.0311,25.05,94,40,2.06,BR,2025-03-24
32,kirensk,57.7853,108.1119,-17.52,99,97,0.61,RU,2025-03-24
33,cockburn town,21.4612,-71.1419,26.35,75,1,9.2,TC,2025-03-24
34,karema,-6.8205,30.4389,22.47,82,100,0.93,TZ,2025-03-24
35,brisas de zicatela,15.8369,-97.0419,29.87,51,0,4.12,MX,2025-03-24
36,flying fish cove,-10.4217,105.6791,28.26,80,100,3.6,CX,2025-03-24
37,zouerate,22.7187,-12.4521,23.28,22,0,7.19,MR,2025-03-24
38,ilanskiy,56.2358,96.065,-3.02,88,100,2.84,RU,2025-03-24
39,soure,-0.7167,-48.5233,27.93,78,70,4.77,BR,2025-03-24
40,labrador city,52.9463,-66.9114,-10.99,65,0,3.6,CA,2025-03-24
41,karratha,-20.7377,116.8463,30.26,66,61,2.12,AU,2025-03-24
42,utrik,11.2278,169.8474,26.58,76,98,7.47,MH,2025-03-24
43,puerto ayora,-0.7393,-90.3518,31.98,92,100,2.68,EC,2025-03-24
44,porto novo,6.4965,2.6036,29.9,77,12,3.5,BJ,2025-03-24
45,dudinka,69.4058,86.1778,-26.64,100,35,2.79,RU,2025-03-24
46,chapeco,-27.0964,-52.6183,25.67,60,40,3.09,BR,2025-03-24
47,bontang,0.1333,117.5,25.2,89,100,2.22,ID,2025-03-24
48,loreto,22.2667,-101.9667,25.48,12,100,3.86,MX,2025-03-24
49,college,64.8569,-147.8028,-4.75,57,0,0.45,US,2025-03-24
50,klyuchi,52.2667,79.1667,-6.7,80,100,7.47,RU,2025-03-24
51,tianpeng,30.9866,103.9393,14.01,61,0,1.43,CN,2025-03-24
52,mili,6.0815,171.735,27.0,85,99,8.73,MH,2025-03-24
53,ribeira grande,38.5167,-28.7,15.18,84,40,4.63,PT,2025-03-24
54,tiksi,71.6872,128.8694,-18.94,100,100,3.05,RU,2025-03-24
55,port elizabeth,-33.918,25.5701,21.17,96,40,6.17,ZA,2025-03-24
56,santa elena de uairen,4.6167,-61.1333,28.85,35,94,1.99,VE,2025-03-24
57,djenne,13.9061,-4.5533,34.52,27,10,2.03,ML,2025-03-24
58,cabo san lucas,22.8909,-109.9124,24.62,47,40,3.6,MX,2025-03-24
59,siwa oasis,29.2041,25.5195,21.62,19,97,3.53,EG,2025-03-24
60,iqaluit,63.7506,-68.5145,-17.15,71,100,10.29,CA,2025-03-24
61,thunder bay,48.4001,-89.3168,-0.54,78,100,5.66,CA,2025-03-24
62,grytviken,-54.2811,-36.5092,4.84,96,50,3.79,GS,2025-03-24
63,san antonio de pale,-1.4014,5.6325,27.69,84,30,3.17,GQ,2025-03-24
64,uturoa,-16.7333,-151.4333,27.55,77,19,8.22,PF,2025-03-24
65,airuk,7.2772,168.8203,27.53,78,30,8.46,MH,2025-03-24
66,hithadhoo,-0.6,73.0833,28.14,74,9,0.07,MV,2025-03-24
67,russkaya polyana,49.417,31.9201,9.98,54,100,8.25,UA,2025-03-24
68,badger,64.8,-147.5333,-4.8,62,0,0.0,US,2025-03-24
69,hermanus,-34.4187,19.2345,19.89,70,0,5.76,ZA,2025-03-24
70,gwanda,-20.9333,29.0,21.21,53,78,2.57,ZW,2025-03-24
71,ushuaia,-54.8,-68.3,10.81,54,0,12.35,AR,2025-03-24
72,pizarro,4.9533,-77.366,28.68,79,100,3.97,CO,2025-03-24
73,bredasdorp,-34.5322,20.0403,19.82,58,10,2.16,ZA,2025-03-24
74,nova sintra,14.8667,-24.7167,20.98,80,9,10.35,CV,2025-03-24
75,palikir - national government center,6.9248,158.1611,27.41,74,75,3.6,FM,2025-03-24
76,lihue,21.9789,-159.3672,24.3,77,0,2.57,US,2025-03-24
77,edinburgh of the seven seas,-37.0676,-12.3116,19.01,90,100,11.16,SH,2025-03-24
78,mount gambier,-37.8333,140.7667,11.5,96,9,2.34,AU,2025-03-24
79,carbonear,47.7332,-53.2148,4.86,54,70,6.63,CA,2025-03-24
80,lucas,41.6501,-83.6666,10.22,53,100,10.29,US,2025-03-24
81,hamilton,39.1834,-84.5333,13.23,38,20,12.35,US,2025-03-24
82,olonkinbyen,70.9221,-8.7187,-7.37,57,100,6.87,SJ,2025-03-24
83,invercargill,-46.4,168.35,10.92,77,100,0.45,NZ,2025-03-24
84,isafjordur,66.0755,-23.124,-2.72,93,100,4.38,IS,2025-03-24
85,udachny,66.4167,112.4,-22.75,100,100,2.16,RU,2025-03-24
86,santa cruz,-17.8,-63.1667,30.37,87,75,5.14,BO,2025-03-24
87,tazovsky,67.4667,78.7,-26.72,100,84,2.5,RU,2025-03-24
88,egyek,47.6333,20.9,10.54,94,100,3.41,HU,2025-03-24
89,colonia,50.9333,6.95,11.05,80,0,0.51,DE,2025-03-24
90,saint-pierre,-21.3393,55.4781,25.61,83,0,2.57,RE,2025-03-24
91,tolanaro,-25.0319,46.9987,24.0,92,25,1.94,MG,2025-03-24
92,kenai,60.5544,-151.2583,0.64,75,100,5.66,US,2025-03-24
93,sao jose da coroa grande,-8.8978,-35.1478,29.12,67,11,3.76,BR,2025-03-24
94,chela,34.069,104.4619,4.8,46,0,1.8,CN,2025-03-24
95,chambas,22.1928,-78.9136,30.97,45,44,8.08,CU,2025-03-24
96,avarua,-21.2078,-159.775,28.03,74,40,5.66,CK,2025-03-24
97,selfoss,63.9331,-20.9971,3.31,97,100,4.87,IS,2025-03-24
98,yellowknife,62.456,-114.3525,-4.77,75,75,5.66,CA,2025-03-24
99,vernon,50.2581,-119.2691,7.56,88,99,0.51,CA,2025-03-24
100,mount isa,-20.7333,139.5,24.2,94,100,2.57,AU,2025-03-24
101,trebechovice pod orebem,50.201,15.9922,9.58,86,99,0.45,CZ,2025-03-24
102,as samawah,31.332,45.2944,17.05,23,0,5.81,IQ,2025-03-24
103,lipljan,42.5217,21.1258,11.99,90,75,2.57,XK,2025-03-24
104,inhambupe,-11.7844,-38.3531,31.47,43,5,7.09,BR,2025-03-24
105,arraial do cabo,-22.9661,-42.0278,27.43,93,75,2.06,BR,2025-03-24
106,kavalerovo,44.2661,135.0572,-1.63,48,0,3.36,RU,2025-03-24
107,queenstown,-31.8976,26.8753,18.82,70,100,2.7,ZA,2025-03-24
108,talnakh,69.4865,88.3972,-26.37,96,64,1.05,RU,2025-03-24
109,palmer,42.1584,-72.3287,3.09,84,100,0.45,US,2025-03-24
110,tazacorte,28.629,-17.9293,18.31,71,40,7.2,ES,2025-03-24
111,peruibe,-24.32,-46.9983,28.5,74,47,1.69,BR,2025-03-24
112,qamdo,31.1667,97.2333,-6.22,58,0,0.3,CN,2025-03-24
113,harper,4.375,-7.7169,27.33,81,84,4.08,LR,2025-03-24
114,taro,-8.3862,115.28,21.06,94,100,0.25,ID,2025-03-24
115,san angelo,31.4638,-100.437,25.17,21,0,1.34,US,2025-03-24
116,alotau,-10.3069,150.4462,25.09,89,100,2.53,PG,2025-03-24
117,shimoda,34.6667,138.95,14.55,75,0,7.08,JP,2025-03-24
118,toguchin,55.2353,84.3858,-9.03,93,98,5.7,RU,2025-03-24
119,harnai,30.1005,67.9374,23.29,18,100,1.56,PK,2025-03-24
120,olonets,60.9847,32.9698,4.82,85,100,6.91,RU,2025-03-24
121,tabou,4.423,-7.3528,27.27,81,50,3.86,CI,2025-03-24
122,niafunke,15.9322,-3.9906,35.47,29,96,5.35,ML,2025-03-24
123,bayanaul,50.7889,75.6956,-8.26,75,100,7.3,KZ,2025-03-24
124,sitka,57.0531,-135.33,6.94,81,100,4.12,US,2025-03-24
125,sidi yahia el gharb,34.3065,-6.3062,10.88,78,0,2.43,MA,2025-03-24
126,vila velha,-20.3297,-40.2925,30.92,70,20,6.17,BR,2025-03-24
127,anadyr,64.75,177.4833,-25.72,76,0,3.0,RU,2025-03-24
128,antonio enes,-16.2325,39.9086,25.46,80,27,3.57,MZ,2025-03-24
129,nuku'alofa,-21.1333,-175.2,26.19,94,75,2.57,TO,2025-03-24
130,saldanha,-33.0117,17.9442,17.77,86,0,4.23,ZA,2025-03-24
131,papatowai,-46.5619,169.4708,11.15,81,100,2.39,NZ,2025-03-24
132,glace bay,46.1969,-59.957,0.79,52,75,3.6,CA,2025-03-24
133,cururupu,-1.8283,-44.8683,30.01,58,90,2.77,BR,2025-03-24
134,nyazepetrovsk,56.0531,59.6028,-5.25,98,20,0.94,RU,2025-03-24
135,muroto-misakicho,33.2833,134.15,16.12,76,0,4.9,JP,2025-03-24
136,coronel suarez,-37.4547,-61.9334,16.69,73,100,5.09,AR,2025-03-24
137,tutoia,-2.7619,-42.2744,28.7,71,100,4.91,BR,2025-03-24
138,sinabang,2.4803,96.3801,26.53,81,100,1.08,ID,2025-03-24
139,linxia chengguanzhen,35.6003,103.2064,8.3,33,0,1.96,CN,2025-03-24
140,ozerne,50.1782,28.7338,8.95,75,100,5.59,UA,2025-03-24
141,yar,58.249,52.1026,-6.49,98,20,1.53,RU,2025-03-24
142,qaqortoq,60.7167,-46.0333,0.89,91,100,1.6,GL,2025-03-24
143,verkhnevilyuysk,63.4453,120.3167,-23.14,100,100,0.8,RU,2025-03-24
144,georgetown,5.4112,100.3354,28.49,79,20,1.54,MY,2025-03-24
145,taunggyi,20.7833,97.0333,17.01,48,0,0.73,MM,2025-03-24
146,margaret river,-33.95,115.0667,18.32,93,15,4.64,AU,2025-03-24
147,gravellona toce,45.9286,8.4321,10.51,81,44,1.36,IT,2025-03-24
148,kailua-kona,19.6406,-155.9956,26.62,72,20,3.09,US,2025-03-24
149,stanley,54.868,-1.6985,8.32,64,0,6.17,GB,2025-03-24
150,susuman,62.7833,148.1667,-29.2,100,95,1.67,RU,2025-03-24
151,kone,-21.0595,164.8658,24.07,89,75,1.54,NC,2025-03-24
152,jamestown,42.097,-79.2353,8.92,66,100,7.72,US,2025-03-24
153,lae,-6.7221,146.9847,23.12,93,80,3.22,PG,2025-03-24
154,padang,-0.9492,100.3543,25.33,88,100,1.97,ID,2025-03-24
155,anchau,10.9597,8.3916,27.06,12,100,2.93,NG,2025-03-24
156,merizo village,13.2658,144.6691,26.37,75,100,7.06,GU,2025-03-24
157,itamaraca,-7.7478,-34.8256,29.79,68,4,3.02,BR,2025-03-24
158,suomussalmi,64.8869,28.9078,0.25,92,100,5.8,FI,2025-03-24
159,nizhnyaya omka,55.4338,74.9426,-8.55,89,100,7.17,RU,2025-03-24
160,turbat,26.0023,63.044,24.52,51,21,1.68,PK,2025-03-24
161,minas de marcona,-15.2119,-75.1103,22.62,57,3,6.12,PE,2025-03-24
162,revelstoke,50.9832,-118.2023,6.92,88,100,1.03,CA,2025-03-24
163,afaahiti,-17.75,-149.2833,28.93,80,89,9.07,PF,2025-03-24
164,ibara,34.6,133.4667,14.06,72,0,4.22,JP,2025-03-24
165,keflavik,64.0049,-22.5624,6.11,94,100,8.23,IS,2025-03-24
166,hirara,24.8,125.2833,20.26,81,20,4.12,JP,2025-03-24
167,whitehorse,60.7161,-135.0538,0.01,80,75,0.0,CA,2025-03-24
168,porbandar,21.6422,69.6093,26.34,51,0,3.91,IN,2025-03-24
169,mariehamn,60.0973,19.9348,2.99,87,0,7.2,AX,2025-03-24
170,qala i naw,34.9874,63.1289,4.23,96,100,5.23,AF,2025-03-24
171,orange walk,17.8333,-88.8333,32.96,48,100,4.59,BZ,2025-03-24
172,narman,40.3465,41.8703,-3.07,76,3,2.25,TR,2025-03-24
173,santa ana de yacuma,-13.75,-65.4333,35.36,64,75,6.17,BO,2025-03-24
174,carnarvon,-24.8667,113.6333,29.26,39,83,6.75,AU,2025-03-24
175,fengkou,30.0833,113.2667,17.91,59,0,3.92,CN,2025-03-24
176,grange,-34.9,138.4833,18.01,70,0,3.14,AU,2025-03-24
177,iskateley,67.6803,53.1512,-2.2,95,100,4.9,RU,2025-03-24
178,puerto baquerizo moreno,-0.9,-89.6,29.55,79,75,4.12,EC,2025-03-24
179,veinticinco de mayo,-35.4323,-60.1727,20.33,78,100,0.89,AR,2025-03-24
180,kodiak,57.79,-152.4072,2.73,87,100,5.66,US,2025-03-24
181,shunyi,40.125,116.6453,9.4,27,0,2.0,CN,2025-03-24
182,breyten,-26.3018,29.987,16.53,84,45,2.06,ZA,2025-03-24
183,enewetak,11.3474,162.3373,26.88,72,98,6.03,MH,2025-03-24
184,hasaki,35.7333,140.8333,14.34,67,0,5.31,JP,2025-03-24
185,aliwal north,-30.6937,26.7114,17.97,84,20,0.61,ZA,2025-03-24
186,porto seguro,-16.4497,-39.0647,28.57,62,40,7.72,BR,2025-03-24
187,warmbaths,-24.8833,28.2833,24.59,54,89,2.61,ZA,2025-03-24
188,qui nhon,13.7667,109.2333,19.04,92,71,2.21,VN,2025-03-24
